iter	Passed	Remaining
686	9693	695769
687	9704	695588
688	9715	695333
689	9728	695260
690	9742	695186
691	9756	695198
692	9772	695306
693	9787	695341
694	9796	694953
695	9808	694847
696	9821	694718
697	9841	695144
698	9858	695335
699	9872	695298
700	9886	695271
701	9901	695315
702	9913	695163
703	9928	695204
704	9948	695635
705	9964	695715
706	9975	695489
707	9989	695471
708	10003	695440
709	10019	695575
710	10033	695525
711	10047	695524
712	10061	695485
713	10073	695364
714	10087	695348
715	10101	695290
716	10115	695259
717	10127	695098
718	10141	695079
719	10154	695008
720	10167	694937
721	10180	694855
722	10193	694731
723	10206	694657
724	10217	694407
725	10231	694389
726	10242	694218
727	10255	694128
728	10265	693841
729	10280	693880
730	10295	693924
731	10312	694071
732	10330	694316
733	10348	694602
734	10366	694824
735	10374	694446
736	10390	694502
737	10402	694389
738	10415	694309
739	10430	694311
740	10447	694492
741	10459	694338
742	10473	694319
743	10486	694278
744	10499	694145
745	10519	694552
746	10529	694239
747	10538	693912
748	10547	693526
749	10555	693140
750	10570	693219
751	10581	692955
752	10592	692790
753	10606	692721
754	10616	692433
755	10627	692266
756	10638	692041
757	10650	691884
758	10662	691724
759	10675	691682
760	10691	691778
761	10704	691695
762	10718	691663
763	10731	691596
764	10744	691503
765	10756	691382
766	10769	691277
767	10783	691244
768	10793	691016
769	10804	690759
770	10813	690463
771	10826	690373
772	10842	690475
773	10849	690016
774	10860	689833
775	10874	689827
776	10893	690125
777	10906	690040
778	10917	689848
779	10929	689674
780	10939	689384
781	10951	689298
782	10963	689144
783	10972	688783
784	10984	688660
785	10996	688502
786	11011	688548
787	11026	688600
788	11041	688649
789	11055	688629
790	11070	688724
791	11080	688418
792	11094	688459
793	11106	688314
794	11118	688149
795	11131	688098
796	11142	687897
797	11152	687627
798	11166	687600
799	11180	687623
800	11192	687449
801	11203	687266
802	11221	687471
803	11234	687442
804	11245	687239
805	11258	687156
806	11273	687214
807	11287	687173
808	11301	687210
809	11314	687132
810	11327	687067
